,Date,City,State,CompAddress,Latitude,Longitude,PartialAddress
122,2022-11-09,Boston,Massachusetts,"Paxton St and Harvard St, Boston, Massachusetts, USA",42.2923583,-71.090028,"Boston, Massachusetts, USA"
123,2022-11-09,New Orleans,Louisiana,"131000 block of Bishop Morton Dr, New Orleans, Louisiana, USA",30.0600112,-89.9546689,"New Orleans, Louisiana, USA"
124,2022-11-08,Little Rock,Arkansas,"4612 Grand Ave, Little Rock, Arkansas, USA",34.7342434,-92.3261104,"Little Rock, Arkansas, USA"
125,2022-11-08,Minneapolis (Brooklyn Park),Minnesota,"6355 Zane Ave N, Minneapolis (Brooklyn Park), Minnesota, USA",45.0710836,-93.3574148,"Minneapolis (Brooklyn Park), Minnesota, USA"
126,2022-11-08,Richmond,Virginia,"1400 block of Drewry St, Richmond, Virginia, USA",37.5023807,-77.4366758,"Richmond, Virginia, USA"
127,2022-11-08,Memphis (Bartlett),Tennessee,"6390 Summer Ave, Memphis (Bartlett), Tennessee, USA",35.189852,-89.85094,"Memphis (Bartlett), Tennessee, USA"
128,2022-11-08,South Gate,California,"3000 block of Firestone Blvd, South Gate, California, USA",33.9553514,-118.2179644,"South Gate, California, USA"
129,2022-11-08,New Haven,Connecticut,"282 Ferry St, New Haven, Connecticut, USA",41.3072637,-72.8953534,"New Haven, Connecticut, USA"
130,2022-11-08,Jacksonville,North Carolina,"White St, Jacksonville, North Carolina, USA",34.7209827,-77.4514136,"Jacksonville, North Carolina, USA"
131,2022-11-08,Memphis,Tennessee,"W Levi Rd and Hammett Dr, Memphis, Tennessee, USA",35.0427939,-90.0794394,"Memphis, Tennessee, USA"
132,2022-11-08,Memphis,Tennessee,"6133 Winchester Rd, Memphis, Tennessee, USA",35.0496092,-89.8590859,"Memphis, Tennessee, USA"
133,2022-11-08,Whigham,Georgia,"Swamp Creek Rd, Whigham, Georgia, USA",30.7514227,-84.3740933,"Whigham, Georgia, USA"
134,2022-11-08,Chicago,Illinois,"3401 W Huron St, Chicago, Illinois, USA",41.8936811,-87.7113811,"Chicago, Illinois, USA"
135,2022-11-08,Columbus,Georgia,"Parkwood Dr and Braebern St, Columbus, Georgia, USA",32.4603673,-84.9008252,"Columbus, Georgia, USA"
136,2022-11-08,Villa Rica,Georgia,"N Lassetter Cir and Villa Trace, Villa Rica, Georgia, USA",33.7360462,-84.9468401,"Villa Rica, Georgia, USA"
137,2022-11-08,Lafayette,Colorado,"201 W South Boulder Rd, Lafayette, Colorado, USA",39.987268,-105.092302,"Lafayette, Colorado, USA"
138,2022-11-08,Umatilla,Florida,"38000 block of Merrell Ave, Umatilla, Florida, USA",28.9128512,-81.6716392,"Umatilla, Florida, USA"
139,2022-11-08,Gainesville,Florida,"100 block of NE 22nd St, Gainesville, Florida, USA",29.6530022,-82.2961314,"Gainesville, Florida, USA"
140,2022-11-08,Temple Hills (Hillcrest Heights),Maryland,"Jameson St and 21st Ave, Temple Hills (Hillcrest Heights), Maryland, USA",38.8299081,-76.9639297,"Temple Hills (Hillcrest Heights), Maryland, USA"
141,2022-11-08,Indianapolis,Indiana,"3500 block of Blue Spruce Ln, Indianapolis, Indiana, USA",39.8257962,-86.1061248,"Indianapolis, Indiana, USA"
142,2022-11-08,Philadelphia,Pennsylvania,"Broad St and Ellsworth St, Philadelphia, Pennsylvania, USA",39.9367299,-75.1669604,"Philadelphia, Pennsylvania, USA"
143,2022-11-08,Houston,Texas,"255 Assay St, Houston, Texas, USA",29.9203178,-95.2017143,"Houston, Texas, USA"
144,2022-11-08,Indianapolis,Indiana,"6000 block of Massachusetts Ave, Indianapolis, Indiana, USA",39.8183669,-86.0646256,"Indianapolis, Indiana, USA"
145,2022-11-08,Pittsburgh,Pennsylvania,"Reifert St and Roll St, Pittsburgh, Pennsylvania, USA",40.4081359,-79.9920828,"Pittsburgh, Pennsylvania, USA"
146,2022-11-08,Philadelphia,Pennsylvania,"1900 block of Haworth St, Philadelphia, Pennsylvania, USA",40.0164323,-75.0740335,"Philadelphia, Pennsylvania, USA"
147,2022-11-08,Nashville,Tennessee,"1200 block of Sycamore Rd, Nashville, Tennessee, USA",36.1291799,-86.7691905,"Nashville, Tennessee, USA"
148,2022-11-08,Bancroft,Idaho,"Ivins Rd and Oregon Trail Rd, Bancroft, Idaho, USA",42.6890651,-111.759579,"Bancroft, Idaho, USA"
149,2022-11-08,Everett,Pennsylvania,"227 W Main St, Everett, Pennsylvania, USA",40.00975,-78.3771788,"Everett, Pennsylvania, USA"
150,2022-11-08,Dallas,Texas,"2355 N Stemmons Fwy, Dallas, Texas, USA",32.8028276,-96.834538,"Dallas, Texas, USA"
151,2022-11-08,Outlook,Washington,"Price Rd and Outlook Rd, Outlook, Washington, USA",46.3315402,-120.1040218,"Outlook, Washington, USA"
152,2022-11-08,Birmingham,Alabama,"5300 block of Ave O, Birmingham, Alabama, USA",33.4813129,-86.8928402,"Birmingham, Alabama, USA"
153,2022-11-08,Gainesville,Georgia,"1300 block of Brown St, Gainesville, Georgia, USA",34.2870829,-83.7975252,"Gainesville, Georgia, USA"
154,2022-11-08,Greeley,Colorado,"101 E 20th St, Greeley, Colorado, USA",40.4072594,-104.6776746,"Greeley, Colorado, USA"
